country,country_code_2_digit,country_code_3_digit,population,daily_count,reported_date,confirmed cases_count,deaths_count,source
Albania,AL,ALB,2862427,306,2020-10-24,306,,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,2,2020-10-07,,2,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,4,2020-08-15,,4,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,0,2020-09-13,0,0,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,3,2020-09-08,,3,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,99,2020-09-02,99,,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,0,2020-07-09,,0,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,0,2020-09-22,,0,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,23,2020-08-11,,23,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,6,2020-07-07,,6,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,6,2020-09-19,,6,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,75,2020-03-10,75,,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,2336,2020-04-11,2336,,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,24,2020-07-15,24,,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,14,2020-08-08,14,,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,11,2020-07-15,,11,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,2,2020-06-27,,2,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,3,2020-07-23,,3,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,0,2020-03-20,,0,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,0,2020-02-03,0,0,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,1,2020-07-02,1,,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,26,2020-05-04,26,,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,47,2020-03-23,,47,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,80,2020-03-22,80,,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,92,2020-09-22,92,,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,5,2020-06-29,,5,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,106,2020-09-28,106,,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,10,2020-03-19,10,,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,1,2020-04-11,,1,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,37,2020-05-15,37,,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,59,2020-07-22,59,,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,0,2020-05-09,,0,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,8577,2020-09-10,8577,,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,5,2020-03-20,5,,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,2,2020-04-23,2,,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,0,2020-01-25,0,0,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,73,2020-08-15,73,,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,0,2020-04-24,0,0,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,50,2020-07-10,50,,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,9,2020-03-14,9,,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,1,2020-03-09,1,,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,139,2020-06-16,139,,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,0,2020-01-08,0,0,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,0,2020-02-21,0,0,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,188,2020-05-23,188,,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,2,2020-04-04,,2,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,8,2020-10-20,,8,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,252,2020-03-14,,252,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,0,2020-05-29,0,0,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,0,2020-02-28,0,0,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,1494,2020-09-29,1494,,"Epidemic intelligence, national daily data"
Faroes,,,48865,0,2020-08-24,0,0,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,545,2020-06-11,545,,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,2548,2020-10-02,2548,,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,8,2020-03-31,,8,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,1,2020-09-29,1,,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,0,2020-03-02,,0,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,352,2020-10-01,352,,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,0,2020-08-02,,0,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,0,2020-06-22,,0,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,43,2020-09-07,43,,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,0,2020-03-11,0,0,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,0,2020-01-22,0,0,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,0,2020-10-05,,0,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,1,2020-10-07,,1,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,0,2020-01-23,0,0,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,165,2020-06-16,165,,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,11,2020-05-03,11,,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,0,2020-10-12,0,0,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,0,2020-01-19,0,0,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,2,2020-09-30,2,,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,1,2020-04-11,,1,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,0,2020-09-09,,0,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,0,2020-02-27,,0,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,13,2020-06-07,13,,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,4,2020-04-04,4,,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,2,2020-04-27,2,,"Epidemic intelligence, national daily data"
Faroes,,,48865,1,2020-04-01,1,,"Epidemic intelligence, national daily data"
Faroes,,,48865,0,2020-05-05,0,0,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,118,2020-07-20,118,,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,345,2020-06-17,345,,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,0,2020-07-28,,0,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,516,2020-05-30,516,,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,4,2020-08-24,4,,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,42,2020-08-20,42,,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,0,2020-02-28,0,0,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,25,2020-03-27,25,,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,177,2020-10-24,177,,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,8,2020-08-28,8,,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,3,2020-06-24,3,,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,0,2020-04-27,,0,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,93,2020-09-30,93,,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,0,2020-01-07,0,0,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,8,2020-09-30,,8,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,0,2020-03-12,,0,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,0,2020-02-08,0,0,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,0,2020-01-06,0,0,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,0,2020-03-05,,0,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,0,2020-02-25,0,0,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,2,2020-08-12,,2,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,330,2020-03-08,330,,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,0,2020-03-07,,0,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,1,2020-07-27,,1,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,0,2020-01-23,0,0,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,0,2020-03-07,,0,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,0,2020-10-04,0,0,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,0,2020-07-22,,0,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,888,2020-10-03,888,,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,3,2020-09-09,,3,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,3,2020-04-22,,3,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,13,2020-09-06,,13,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,0,2020-04-13,0,0,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,0,2020-03-12,,0,"Epidemic intelligence, national daily data"
